Year,Month,Average
1994,Mar,13.118481417166645
1994,Apr,14.204419578717905
1994,May,15.048696624774516
1994,Jun,15.801027256221856
1994,Jul,16.04745219669446
1994,Aug,15.827685433711952
1994,Sep,15.272590244365038
1994,Oct,14.310925906191384
1994,Nov,13.292433366865776
1994,Dec,12.512470219776294
1995,Jan,12.415936503510313
1995,Feb,12.912676215538823
1995,Mar,13.271527977342728
1995,Apr,14.304124766499575
1995,May,15.079388000160948
1995,Jun,15.963538983371127
1995,Jul,16.241234754720967
1995,Aug,16.121128110801056
1995,Sep,15.361717530504174
1995,Oct,14.407254487383772
1995,Nov,13.34129960838872
1995,Dec,12.49048859351687
1996,Jan,12.169727214283169
1996,Feb,12.623659153495618
1996,Mar,13.240898919828165
1996,Apr,14.142263839114884
1996,May,14.998944625932195
1996,Jun,15.705247520228772
1996,Jul,16.046973425940912
1996,Aug,16.016939358026182
1996,Sep,15.208002010020444
1996,Oct,14.12416770490159
1996,Nov,13.233218603272261
1996,Dec,12.551627112779386
1997,Jan,12.178512386626668
1997,Feb,12.54509276018253
1997,Mar,13.340991642642537
1997,Apr,14.081469265712707
1997,May,15.079350477545495
1997,Jun,15.975655189414011
1997,Jul,16.105117199949042
1997,Aug,15.993944554124722
1997,Sep,15.438544415525397
1997,Oct,14.556481182180008
1997,Nov,13.525099193750709
1997,Dec,12.800189607145619
1998,Jan,12.533356767296716
1998,Feb,12.966189456084736
1998,Mar,13.457102939318448
1998,Apr,14.587246580719007
1998,May,15.51444194593286
1998,Jun,16.233682101863884
1998,Jul,16.491537343028593
1998,Aug,16.356863634959222
1998,Sep,15.48669234603762
1998,Oct,14.402220949750905
1998,Nov,13.338720759583133
1998,Dec,12.746872630583102
1999,Jan,12.362995600817829
1999,Feb,12.817451937115777
1999,Mar,13.199793592562422
1999,Apr,14.173063210557421
1999,May,15.073862418763058
1999,Jun,15.86066720326938
1999,Jul,16.149283564537246
1999,Aug,16.004200233063788
1999,Sep,15.382190571654435
1999,Oct,14.331161795507413
1999,Nov,13.202370041231175
1999,Dec,12.603675368877564
2000,Jan,12.185714404274536
2000,Feb,12.734612343902286
2000,Mar,13.318617163814398
2000,Apr,14.401821165743817
2000,May,15.1490725523572
2000,Jun,15.898081415732758
2000,Jul,16.151403759549524
2000,Aug,16.06638564040267
2000,Sep,15.414016000332458
2000,Oct,14.263842999611576
2000,Nov,13.191665841740454
2000,Dec,12.469549450630586
2001,Jan,12.388349447196507
2001,Feb,12.60804905236112
2001,Mar,13.43142928775232
2001,Apr,14.372425049626239
2001,May,15.411671144976692
2001,Jun,16.06277947746051
2001,Jul,16.405152980190856
2001,Aug,16.239270839216935
2001,Sep,15.561061771187685
2001,Oct,14.487501797842718
2001,Nov,13.596468323275408
2001,Dec,12.829260424466028
2002,Jan,12.686058461367887
2002,Feb,12.852325507104078
2002,Mar,13.722129664384434
2002,Apr,14.44541894633113
2002,May,15.501529730899037
2002,Jun,16.206626916759717
2002,Jul,16.4699405734578
2002,Aug,16.276322177379416
2002,Sep,15.66900543144874
2002,Oct,14.594725004733057
2002,Nov,13.531665137257601
2002,Dec,12.748373317009408
2003,Jan,12.773442460970347
2003,Feb,12.862146019102232
2003,Mar,13.459297104487192
2003,Apr,14.44045972134843
2003,May,15.426316314032713
2003,Jun,16.03838158000797
2003,Jul,16.381154551372866
2003,Aug,16.356122056776638
2003,Sep,15.739657371815694
2003,Oct,14.79336370654314
2003,Nov,13.59088598978344
2003,Dec,13.016902523205133
2004,Jan,12.618125003599724
2004,Feb,12.896042204447118
2004,Mar,13.57146718010394
2004,Apr,14.526972227684892
2004,May,15.214089075518556
2004,Jun,16.022091988918568
2004,Jul,16.128501343587317
2004,Aug,16.131867808471778
2004,Sep,15.590472740607323
2004,Oct,14.64251741700531
2004,Nov,13.631470216866195
2004,Dec,12.725942733994813
2005,Jan,12.773127268174914
2005,Feb,12.935598886551825
2005,Mar,13.631079472013116
2005,Apr,14.609130480941428
2005,May,15.529654588757316
2005,Jun,16.268270258781182
2005,Jul,16.51629816327339
2005,Aug,16.340064149991136
2005,Sep,15.799239471506043
2005,Oct,14.818023128496735
2005,Nov,13.683807456539597
2005,Dec,12.946644716518014
2006,Jan,12.578219292639954
2006,Feb,12.956548943083122
2006,Mar,13.512991566261558
2006,Apr,14.356261602938867
2006,May,15.243441893153454
2006,Jun,16.092117011573006
2006,Jul,16.2784288222231
2006,Aug,16.24398380104905
2006,Sep,15.579662711800001
2006,Oct,14.663403707859695
2006,Nov,13.54228310251205
2006,Dec,12.948309346975503
2007,Jan,12.905326275078503
2007,Feb,12.831831210592956
2007,Mar,13.525439448228703
2007,Apr,14.591948341908159
2007,May,15.414364693528071
2007,Jun,16.05468274689872
2007,Jul,16.329785199776424
2007,Aug,16.199565753943222
2007,Sep,15.461214841841143
2007,Oct,14.533988961254172
2007,Nov,13.449457012403858
2007,Dec,12.658541734727187
2008,Jan,12.205358902109095
2008,Feb,12.485606975265867
2008,Mar,13.47717067591788
2008,Apr,14.292768664012208
2008,May,15.206828176263484
2008,Jun,15.883549933678033
2008,Jul,16.298792753353702
2008,Aug,16.124457163233632
2008,Sep,15.529127088333087
2008,Oct,14.59636316005945
2008,Nov,13.521116134317422
2008,Dec,12.694297011524842
2009,Jan,12.601727857114279
2009,Feb,12.748055760359739
2009,Mar,13.31270426976313
2009,Apr,14.31085665428064
2009,May,15.288772077755363
2009,Jun,16.02791595414921
2009,Jul,16.401926170906005
2009,Aug,16.202954741237566
2009,Sep,15.61466788733846
2009,Oct,14.552172426355966
2009,Nov,13.518356759759227
2009,Dec,12.723576141572288
2010,Jan,12.565889323198265
2010,Feb,12.874773761247296
2010,Mar,13.622801291775785
2010,Apr,14.545312426018238
2010,May,15.399124232884326
2010,Jun,16.037668473372236
2010,Jul,16.253146397078904
2010,Aug,16.11554860272599
2010,Sep,15.51244163080498
2010,Oct,14.502073072634536
2010,Nov,13.485233640812899
2010,Dec,12.526111339530198
2011,Jan,12.34140990785433
2011,Feb,12.545689382973933
2011,Mar,13.314981751868764
2011,Apr,14.312549049651842
2011,May,15.175078196081731
2011,Jun,15.985484018123298
2011,Jul,16.357512179796633
2011,Aug,16.207095914650193
2011,Sep,15.465947261794422
2011,Oct,14.47926664866912
2011,Nov,13.319670269229695
2011,Dec,12.651301249445751
