region,month,avg_potential_height
KY,Mar,5612.727449971012
KY,Apr,5662.949262137171
KY,May,5753.160715706148
KY,Jun,5831.963579850563
KY,Jul,5877.95197122023
KY,Aug,5873.474400397047
KY,Sep,5836.415161101738
KY,Oct,5754.641333447176
KY,Nov,5679.181055193377
KY,Dec,5611.785865202316
TX,Jan,5715.009755728756
TX,Feb,5712.145220339322
TX,Mar,5727.832770934507
TX,Apr,5765.633260094768
TX,May,5821.068374281629
TX,Jun,5880.282874706255
TX,Jul,5910.839435970462
TX,Aug,5908.87308198812
TX,Sep,5879.657617431738
TX,Oct,5831.6751528586
TX,Nov,5778.871619657835
TX,Dec,5735.532606036992
AL,Jan,5687.513796814898
AL,Feb,5691.182698393239
AL,Mar,5710.18751215675
AL,Apr,5746.271639986923
AL,May,5808.989923339447
AL,Jun,5866.036840649483
AL,Jul,5901.419739222917
AL,Aug,5897.158119186444
AL,Sep,5868.844793269655
AL,Oct,5819.663015547782
AL,Nov,5770.364732966015
AL,Dec,5726.603924093194
NH,Jan,5383.061137561881
NH,Feb,5392.863153449255
NH,Mar,5446.60115675523
NH,Apr,5529.837171153545
NH,May,5645.825051567045
NH,Jun,5725.562705051068
NH,Jul,5779.982142208189
NH,Aug,5787.182477392336
NH,Sep,5753.654173729869
NH,Oct,5644.849719961452
NH,Nov,5543.387873509863
NH,Dec,5447.28676049331
OH,Jan,5487.842996816243
OH,Feb,5498.1792520333465
OH,Mar,5550.409894082308
OH,Apr,5611.078621653408
OH,May,5713.969561580516
OH,Jun,5798.195146377446
OH,Jul,5847.3007396774865
OH,Aug,5844.6505857078855
OH,Sep,5804.973525092242
OH,Oct,5707.203420597929
OH,Nov,5619.400101683848
OH,Dec,5540.607555210311
MS,Jan,5691.698128925542
MS,Feb,5694.4225937889505
MS,Mar,5713.92734615228
MS,Apr,5751.229389490166
MS,May,5812.2405393987
MS,Jun,5868.893735861397
MS,Jul,5903.991503388034
MS,Aug,5899.983752912493
MS,Sep,5871.073974867808
MS,Oct,5822.06745684556
MS,Nov,5771.17529399574
MS,Dec,5727.232719096609
WV,Jan,5533.831649587322
WV,Feb,5542.945966103866
WV,Mar,5584.009281797395
WV,Apr,5639.75131455045
WV,May,5735.535759194274
WV,Jun,5815.055128345737
WV,Jul,5861.854570568632
WV,Aug,5858.790712352142
WV,Sep,5825.161113777701
WV,Oct,5737.985609121529
WV,Nov,5660.596447388888
WV,Dec,5588.741419838034
MO,Jan,5563.2589977253965
MO,Feb,5566.125435032031
MO,Mar,5608.200506594119
MO,Apr,5656.625088586114
MO,May,5747.827975750112
MO,Jun,5835.443699499891
MO,Jul,5887.361260246065
MO,Aug,5881.865398133162
MO,Sep,5835.659986547974
MO,Oct,5745.568153964115
MO,Nov,5660.943509265158
MO,Dec,5593.884123120573
PA,Jan,5466.785697492893
PA,Feb,5476.2167713769195
PA,Mar,5525.820465917739
PA,Apr,5592.987258706691
PA,May,5698.853354150226
PA,Jun,5781.203291540053
PA,Jul,5831.204803880203
PA,Aug,5831.431878854049
PA,Sep,5796.907405396968
PA,Oct,5696.876273274206
PA,Nov,5607.850448700965
PA,Dec,5525.734344328669
KS,Jan,5583.2769038307915
KS,Feb,5577.439122291668
KS,Mar,5613.234685837258
KS,Apr,5657.637904930574
KS,May,5745.466326165694
KS,Jun,5840.716795678105
KS,Jul,5898.891286230836
KS,Aug,5892.04518035803
KS,Sep,5840.570685508026
KS,Oct,5747.582786047263
KS,Nov,5662.44697181479
KS,Dec,5599.317956022148
MD,Jan,5523.554781155153
MD,Feb,5531.409522589186
MD,Mar,5569.272643825952
MD,Apr,5628.379417087934
MD,May,5725.706211574334
MD,Jun,5805.039881447674
MD,Jul,5853.538886254961
MD,Aug,5852.166401395455
MD,Sep,5821.5823908761
MD,Oct,5733.196073698634
MD,Nov,5655.0524324268035
MD,Dec,5581.856231547795
AZ,Jan,5686.512561324939
AZ,Feb,5669.181399521868
AZ,Mar,5679.8915733427675
AZ,Apr,5712.1107013247665
AZ,May,5770.540339600028
AZ,Jun,5860.007172139407
AZ,Jul,5912.9160100083545
AZ,Aug,5906.259578061279
AZ,Sep,5861.960112436581
AZ,Oct,5796.120894176006
AZ,Nov,5739.857650325181
AZ,Dec,5690.188959214703
HI,Jan,5828.529981532679
HI,Feb,5816.593921266912
HI,Mar,5824.821710175607
HI,Apr,5838.74036323208
HI,May,5855.295043259734
HI,Jun,5874.220611980285
HI,Jul,5878.8102472136925
HI,Aug,5881.418534845246
HI,Sep,5874.530556672218
HI,Oct,5865.765840255833
HI,Nov,5852.614828232515
HI,Dec,5838.378506506234
OK,Jan,5637.950741770799
OK,Feb,5633.933833075723
