Region,Month,Pooled_Intercept,Intercept_SE,Pooled_Slope,Slope_SE,Slope_p
ME,Jun,20.869928217668015,0.1715836647955275,0.829067637945513,0.6797668011590484,0.8014605286426788
ME,Mar,1.307794046216122,0.2730684378209964,0.9663318207178948,1.0110197245088035,0.9734343895483524
ME,May,16.085533453346077,0.23432127320068408,0.5828766470668657,0.8801349211039223,0.6355490070996233
ME,Nov,4.811002871240149,0.25305280573054095,1.7436421862640135,0.9930365923437199,0.4539435317488252
ME,Oct,12.041258756252072,0.22828638036705146,2.0949580900108375,0.9919258836379776,0.2696491559111831
ME,Sep,18.915882641942957,0.17495361961434747,2.963147909657132,0.7003653602100763,0.005062433380295994
MI,Apr,10.984811222841673,0.28261706206646975,-0.24870287025347407,1.1398760194455753,0.2733096724834856
MI,Aug,24.60091676982052,0.1796997571192807,1.649397186845521,0.6940471649222489,0.34944454901341615
MI,Dec,-0.44063498800121115,0.35694233439688194,2.38826806947452,1.4182354336984846,0.3276442341983996
MI,Feb,-2.0521905967867453,0.40216633018986603,0.3413397391350685,1.577595392842528,0.6763061491957534
MI,Jan,-3.3323721174387657,0.36505862273845485,2.291788370701317,1.2459831522932228,0.2998466449230133
MI,Jul,25.282860019483216,0.22106157049895575,1.4763974768976869,0.6656605870393099,0.474191275192561
MI,Jun,22.507904748482886,0.20887521078752788,1.6693367133989139,0.8305797677990888,0.42031961878594926
MI,Mar,3.818127914377863,0.3685108973485887,1.5443709069621165,1.299707198706149,0.6753322011933751
MI,May,17.604725074463094,0.2790779022085612,0.2559924177934639,0.9986177043343941,0.45624908403253217
MI,Nov,6.021581862293979,0.3481638460590577,2.344007915728139,1.3923778849102373,0.33441415586847634
MI,Oct,13.450462987090363,0.23991871890800526,1.4661611606533613,0.9900985630737812,0.6377671493504189
MI,Sep,20.67633288704591,0.18635647452480758,3.030543460312328,0.703069553702195,0.003875621171003374
MN,Apr,11.720457480036588,0.3792784052709673,-1.145237986376067,1.2702524058821105,0.09125237274183484
MN,Aug,25.46744387851472,0.22604790891060278,0.9531912209631475,0.912057523800096,0.9590687955048645
MN,Dec,-5.326637414099616,0.4959859252790632,3.596723484517163,1.7946489050333274,0.14791775594258416
MN,Feb,-4.9494873178348495,0.5103360902960066,-1.177003825924352,2.070890289512031,0.29314812828572734
MN,Jan,-7.735586345004782,0.46643400400707996,2.538260418888635,1.7481809209311678,0.37890231990556966
MN,Jul,26.401528635564997,0.23531959074825906,1.7542770842292976,0.8788809006598837,0.3907685334134756
MN,Jun,23.830468630693428,0.24257029993041576,2.288443580350326,0.8713036293132906,0.1392061191628846
MN,Mar,2.862115073420229,0.45909462026681175,1.7707514058957319,1.615503647524082,0.6332932878975477
MN,May,18.965759279348582,0.28236229132887863,-0.7966781513543947,1.0555244533031927,0.08872419852646996
MN,Nov,2.7244927290396164,0.45146868186323313,3.7831340488823635,1.7273898535310384,0.10714073977779903
MN,Oct,12.134683938109283,0.3048911665598814,0.18474629954288138,1.2774126008058149,0.5233389223951033
MN,Sep,20.454691026632762,0.2397602783207025,3.3683660730887897,0.888537534345049,0.007688183783772784
MO,Apr,18.894139910890612,0.28017846629134385,0.9961610480508524,1.0763478005147924,0.9971542339805988
MO,Aug,30.587728215226917,0.29179093081190327,-0.21215492356261478,1.0356333373841762,0.24182074619801996
MO,Dec,5.734377220398904,0.39386200427942314,3.9191190185093965,1.7170209244539405,0.08911083088895944
MO,Feb,6.4607739519666,0.45308055354743104,0.613158003492832,1.9272516973400349,0.8409158827205705
MO,Jan,3.879503856670987,0.36625565115142916,2.1670022557680846,1.3197498757535366,0.3765557814260112
MO,Jul,31.059904940177915,0.24804436198789662,0.23401674459632096,0.7874350329837194,0.33067388963151423
MO,Jun,28.56293277283993,0.19355627110237217,2.3416835718938867,0.7705566132336854,0.08165071104373856
MO,Mar,13.005301828730374,0.31427847496802214,1.8097939669417025,1.2271594736449773,0.5093224859526431
MO,May,23.72252644196933,0.22584472407499812,0.49000866578951036,0.9045786419713546,0.5728978545381127
